feature,mean_absolute_shap_value
X6,0.06340776973957354
X1,0.019694960720263978
X19,0.014967697243163916
X20,0.01403250543745464
X8,0.012301892087007273
X12,0.012038695922208582
X18,0.011986023225633781
X7,0.00788272719383808
X9,0.006944289996103683
X21,0.00605407406251315
X11,0.005413222670580953
X10,0.004235722967764986
X14,0.004100542127172916
X23,0.003729151539566522
X13,0.0033286440838988587
X17,0.0030873050568012714
X22,0.0023098118136979707
X15,0.0019744825233982384
X16,0.0015539845635491475
